type	Task	Location	Task Info	Est. Time	Reward	p/hr
weekly	BUY Paladino	Ironwake, Earth	Pay riven shards	2	35k Kuva, Rivens	
weekly	BUY Bird 3	Sanctum Anatomica, Deimos	Pay 30k rep, Shiny treasures	2 (25)	1 Archon Shard	
weekly	BUY Yonta	Chrysalith, Zariman	Pay 5 pinion	2 (20)	35k Kuva	
weekly	BUY Acrithis	Dormizone, Zariman	Pay 20 pathos clamps	2 (20)	Exilus Wpn Adapter, Catalyst, Reactor	60
weekly	BUY Nightwave	Orbiter	In ship radio	2	~15p Sellable Mods	
weekly	Archon Hunt	Orbiter	In ship dashboard	30	1 Archon Shard	
weekly	Kahl Garrison	Orbiter	Complete the weekly mission	15-30	~22p Sellable Mods (3)	144
weekly	1999 Calender	Höllvania	Solo missions typically work best	60+	1.5 Archon Shard, Exilus Wpn Adapter, Catalyst, Reactor	
weekly	Duviri Circuit	Orbiter	Incarns - currently week 8	60,120+	Incarnons, Arcanes, Rivens	
weekly	Netracell	Sanctum Anatomica, Deimos	Talk to Tagfer	10	.65 Archon Shard	
weekly	Temporal Archimedia	Höllvania	Talk to Kaya Velasco	30+	2+ Archon shard, rare arcanes	
weekly	Deep Archimedia	Sanctum Anatomica, Deimos	Talk to Necraloid	30+	2+ Archon shard, rare arcanes	
daily	Craft Forma		Craft the forma	2	FORMA ~11p	
daily	REP - Cephalon Simaris	Orb Valis, Venus	(based on 30k rep) Scan Ivara preferred frame Steelpath enemies at Temple of Profit	10	59p companion riven (100k rep)	115.05
daily	REP - Entrati	Deimos	(13k turn-in) Select lvl5 bounty, fail, look for Brute Force. Press Nightwave to skip dialogue Mesa prefered frame also: aya farm	10 (25)	bond mod (19p) 20k rep	74.1
daily	REP - Ostron	Plains of Eidolon, Earth	(based on 30k rep) Sleep Critters - groups of vultures	20	bond mod (19p) 20k rep	85.5
daily	REP - Hex	Höllvania	(11k max) Bounty also: Coda hunt, 1999 Calendar	5 (15)	Lich Wpn Swap element (50k rep))	
daily	REP - Cavia	Sanctum Anatomica, Deimos	(7.5 max) Bounty or Voca turn-ins	5 (25)	melee arcane adapter (50k rep), 15p mod	30,60
daily	REP - Solaris United	Orb Valis, Venus	(based on 30k rep) Sleep Critters - painful	35	bond mod (19p) 20k rep	48.9
daily	REP - Holdfast	Chrysalith, Zariman	Void Angel Turn-ins Exterminate with Void Angel Bounty is best		arcanes	
daily	BUY - Acrithis	Dormizone, Zariman	Arcane for clamps, not worth right now	2		
